CapitalOri,CapitalFin,HX
CiudadVictoria,Zacatecas,517.924
CiudadVictoria,Guanajuato,512.917
CiudadVictoria,TlaxcaladeXicohtencatl,646.371
PachucadeSoto,CiudaddeMexico,84.135
PachucadeSoto,PuebladeZaragoza,144.301
PachucadeSoto,Guadalajara,557.81
PachucadeSoto,Monterrey,919.744
PachucadeSoto,Chihuahua,1496.642
PachucadeSoto,Merida,1326.064
PachucadeSoto,Saltillo,850.654
PachucadeSoto,Aguascalientes,502.709
PachucadeSoto,Hermosillo,1916.708
PachucadeSoto,Mexicali,2607.244
PachucadeSoto,SanLuisPotosi,423.831
PachucadeSoto,CuliacanRosales,1239.826
PachucadeSoto,SantiagodeQueretaro,224.188
PachucadeSoto,Morelia,313.553
PachucadeSoto,VictoriadeDurango,920.329
PachucadeSoto,TuxtlaGutierrez,846.927
PachucadeSoto,XalapaEnriquez,282.825
PachucadeSoto,Tepic,761.913
PachucadeSoto,Cuernavaca,179.718
PachucadeSoto,Villahermosa,763.488
PachucadeSoto,CiudadVictoria,612.142
PachucadeSoto,PachucadeSoto,0
PachucadeSoto,OaxacadeJuarez,475.191
PachucadeSoto,LaPaz,3961
PachucadeSoto,SanFranciscodeCampeche,1146.948
PachucadeSoto,ChilpancingodelosBravo,376.007
PachucadeSoto,TolucadeLerdo,159.413
PachucadeSoto,Chetumal,1337.814
PachucadeSoto,Colima,743.915
PachucadeSoto,Zacatecas,635.013
PachucadeSoto,Guanajuato,369.084
PachucadeSoto,TlaxcaladeXicohtencatl,124.981
OaxacadeJuarez,CiudaddeMexico,480.671
OaxacadeJuarez,PuebladeZaragoza,341.804
OaxacadeJuarez,Guadalajara,994.566
OaxacadeJuarez,Monterrey,1356.499
OaxacadeJuarez,Chihuahua,1933.397
OaxacadeJuarez,Merida,1360.544
OaxacadeJuarez,Saltillo,1287.409
OaxacadeJuarez,Aguascalientes,939.465
OaxacadeJuarez,Hermosillo,2353.463
OaxacadeJuarez,Mexicali,3044
OaxacadeJuarez,SanLuisPotosi,860.586
OaxacadeJuarez,CuliacanRosales,1676.582
OaxacadeJuarez,SantiagodeQueretaro,660.943
OaxacadeJuarez,Morelia,750.309
OaxacadeJuarez,VictoriadeDurango,1357.085
OaxacadeJuarez,TuxtlaGutierrez,563.763
OaxacadeJuarez,XalapaEnriquez,439.13
OaxacadeJuarez,Tepic,1198.668
OaxacadeJuarez,Cuernavaca,497.631
OaxacadeJuarez,Villahermosa,797.968
OaxacadeJuarez,CiudadVictoria,1020.458
OaxacadeJuarez,PachucadeSoto,475.644
OaxacadeJuarez,OaxacadeJuarez,0
OaxacadeJuarez,LaPaz,4597
OaxacadeJuarez,SanFranciscodeCampeche,1181.428
OaxacadeJuarez,ChilpancingodelosBravo,630.041
OaxacadeJuarez,TolucadeLerdo,521.318
OaxacadeJuarez,Chetumal,1372.294
OaxacadeJuarez,Colima,1180.671
OaxacadeJuarez,Zacatecas,1071.768
OaxacadeJuarez,Guanajuato,805.84
OaxacadeJuarez,TlaxcaladeXicohtencatl,370.08
LaPaz,CiudaddeMexico,3958
LaPaz,PuebladeZaragoza,4075
LaPaz,Guadalajara,3397
LaPaz,Monterrey,3509
LaPaz,Chihuahua,2535
LaPaz,Merida,5252
LaPaz,Saltillo,3262
LaPaz,Aguascalientes,4484
LaPaz,Hermosillo,2038
LaPaz,Mexicali,1344
LaPaz,SanLuisPotosi,3554
LaPaz,CuliacanRosales,2718
LaPaz,SantiagodeQueretaro,3736
LaPaz,Morelia,3681
LaPaz,VictoriadeDurango,3168
LaPaz,TuxtlaGutierrez,4768
LaPaz,XalapaEnriquez,4191
LaPaz,Tepic,3191
LaPaz,Cuernavaca,4009
LaPaz,Villahermosa,4690
LaPaz,CiudadVictoria,3958
LaPaz,PachucadeSoto,3961
LaPaz,OaxacadeJuarez,4597
LaPaz,LaPaz,0
LaPaz,SanFranciscodeCampeche,5086
LaPaz,ChilpancingodelosBravo,4200
LaPaz,TolucadeLerdo,3910
LaPaz,Chetumal,5263
LaPaz,Colima,3561
LaPaz,Zacatecas,3371
LaPaz,Guanajuato,3669
LaPaz,TlaxcaladeXicohtencatl,4045
SanFranciscodeCampeche,CiudaddeMexico,1161.094
SanFranciscodeCampeche,PuebladeZaragoza,1022.227
SanFranciscodeCampeche,Guadalajara,1674.989
SanFranciscodeCampeche,Monterrey,1797.419
SanFranciscodeCampeche,Chihuahua,2613.82
SanFranciscodeCampeche,Merida,179.706
SanFranciscodeCampeche,Saltillo,1875.595
SanFranciscodeCampeche,Aguascalientes,1619.888
SanFranciscodeCampeche,Hermosillo,3033.886
SanFranciscodeCampeche,Mexicali,3724.423
SanFranciscodeCampeche,SanLuisPotosi,1541.01
SanFranciscodeCampeche,CuliacanRosales,2357.005
SanFranciscodeCampeche,SantiagodeQueretaro,1341.366
SanFranciscodeCampeche,Morelia,1430.732
SanFranciscodeCampeche,VictoriadeDurango,2037.508
SanFranciscodeCampeche,TuxtlaGutierrez,631.745
SanFranciscodeCampeche,XalapaEnriquez,978.653
SanFranciscodeCampeche,Tepic,1879.092
SanFranciscodeCampeche,Cuernavaca,1178.054
SanFranciscodeCampeche,Villahermosa,384.233
SanFranciscodeCampeche,CiudadVictoria,1523.26
SanFranciscodeCampeche,PachucadeSoto,1156.068
SanFranciscodeCampeche,OaxacadeJuarez,1190.71
SanFranciscodeCampeche,LaPaz,5086
SanFranciscodeCampeche,SanFranciscodeCampeche,0
SanFranciscodeCampeche,ChilpancingodelosBravo,1310.465
SanFranciscodeCampeche,TolucadeLerdo,1201.741
SanFranciscodeCampeche,Chetumal,418.836
SanFranciscodeCampeche,Colima,1861.094
SanFranciscodeCampeche,Zacatecas,1752.192
SanFranciscodeCampeche,Guanajuato,1486.263
SanFranciscodeCampeche,TlaxcaladeXicohtencatl,1050.503
ChilpancingodelosBravo,CiudaddeMexico,303.677
ChilpancingodelosBravo,PuebladeZaragoza,285.645
ChilpancingodelosBravo,Guadalajara,805.267
ChilpancingodelosBravo,Monterrey,1189.396
ChilpancingodelosBravo,Chihuahua,1766.294
ChilpancingodelosBravo,Merida,1479.966
ChilpancingodelosBravo,Saltillo,1120.307
ChilpancingodelosBravo,Aguascalientes,772.362
ChilpancingodelosBravo,Hermosillo,2164.165
ChilpancingodelosBravo,Mexicali,2854.701
ChilpancingodelosBravo,SanLuisPotosi,693.484
ChilpancingodelosBravo,CuliacanRosales,1487.284
ChilpancingodelosBravo,SantiagodeQueretaro,493.841
ChilpancingodelosBravo,Morelia,561.011
ChilpancingodelosBravo,VictoriadeDurango,1189.982
ChilpancingodelosBravo,TuxtlaGutierrez,1000.829
ChilpancingodelosBravo,XalapaEnriquez,467.195
ChilpancingodelosBravo,Tepic,1009.37
ChilpancingodelosBravo,Cuernavaca,194.298
ChilpancingodelosBravo,Villahermosa,917.39
ChilpancingodelosBravo,CiudadVictoria,1009.126
ChilpancingodelosBravo,PachucadeSoto,382.871
ChilpancingodelosBravo,OaxacadeJuarez,629.092
ChilpancingodelosBravo,LaPaz,4200
ChilpancingodelosBravo,SanFranciscodeCampeche,1300.85
ChilpancingodelosBravo,ChilpancingodelosBravo,0
ChilpancingodelosBravo,TolucadeLerdo,331.827
ChilpancingodelosBravo,Chetumal,1491.716
ChilpancingodelosBravo,Colima,991.372
ChilpancingodelosBravo,Zacatecas,904.666
ChilpancingodelosBravo,Guanajuato,638.737
ChilpancingodelosBravo,TlaxcaladeXicohtencatl,320.974
TolucadeLerdo,CiudaddeMexico,78.507
TolucadeLerdo,PuebladeZaragoza,190.698
TolucadeLerdo,Guadalajara,472.555
TolucadeLerdo,Monterrey,890.605
TolucadeLerdo,Chihuahua,1467.183
TolucadeLerdo,Merida,1372.461
TolucadeLerdo,Saltillo,821.515
TolucadeLerdo,Aguascalientes,473.251
TolucadeLerdo,Hermosillo,1831.452
TolucadeLerdo,Mexicali,2521.989
TolucadeLerdo,SanLuisPotosi,394.693
TolucadeLerdo,CuliacanRosales,1154.571
TolucadeLerdo,SantiagodeQueretaro,195.05
TolucadeLerdo,Morelia,228.298
TolucadeLerdo,VictoriadeDurango,890.871
TolucadeLerdo,TuxtlaGutierrez,893.324
TolucadeLerdo,XalapaEnriquez,359.69
TolucadeLerdo,Tepic,676.658
TolucadeLerdo,Cuernavaca,134.499
TolucadeLerdo,Villahermosa,809.885
TolucadeLerdo,CiudadVictoria,710.335
TolucadeLerdo,PachucadeSoto,151.527
TolucadeLerdo,OaxacadeJuarez,521.587
TolucadeLerdo,LaPaz,3910
TolucadeLerdo,SanFranciscodeCampeche,1193.345
TolucadeLerdo,ChilpancingodelosBravo,330.787
TolucadeLerdo,TolucadeLerdo,0
TolucadeLerdo,Chetumal,1384.211
TolucadeLerdo,Colima,658.66
TolucadeLerdo,Zacatecas,605.554
TolucadeLerdo,Guanajuato,339.626
TolucadeLerdo,TlaxcaladeXicohtencatl,179.32
Chetumal,CiudaddeMexico,1353.456
Chetumal,PuebladeZaragoza,1214.59
Chetumal,Guadalajara,1867.351
Chetumal,Monterrey,1989.781
Chetumal,Chihuahua,2806.182
Chetumal,Merida,383.588
Chetumal,Saltillo,2067.958
Chetumal,Aguascalientes,1812.25
Chetumal,Hermosillo,3226.248
Chetumal,Mexicali,3916.785
Chetumal,SanLuisPotosi,1733.372
Chetumal,CuliacanRosales,2549.367
Chetumal,SantiagodeQueretaro,1533.729
Chetumal,Morelia,1623.094
Chetumal,VictoriadeDurango,2229.87
Chetumal,TuxtlaGutierrez,5264
Chetumal,XalapaEnriquez,1171.015
Chetumal,Tepic,2071.454
Chetumal,Cuernavaca,1370.416
Chetumal,Villahermosa,577.435
Chetumal,CiudadVictoria,1715.622
Chetumal,PachucadeSoto,1348.43
Chetumal,OaxacadeJuarez,1383.072
Chetumal,LaPaz,2992.876
Chetumal,SanFranciscodeCampeche,419.445
Chetumal,ChilpancingodelosBravo,1502.827
Chetumal,TolucadeLerdo,1394.103
Chetumal,Chetumal,0
Chetumal,Colima,2053.456
Chetumal,Zacatecas,1944.554
Chetumal,Guanajuato,1678.625
Chetumal,TlaxcaladeXicohtencatl,1242.865
Colima,CiudaddeMexico,734.609
Colima,PuebladeZaragoza,854.333
Colima,Guadalajara,195.084
Colima,Monterrey,1000.811
Colima,Chihuahua,1408.97
Colima,Merida,2036.096
Colima,Saltillo,911.834
Colima,Aguascalientes,415.038
Colima,Hermosillo,1527.37
Colima,Mexicali,2217.907
Colima,SanLuisPotosi,522.894
Colima,CuliacanRosales,850.489
Colima,SantiagodeQueretaro,539.207
Colima,Morelia,478.137
Colima,VictoriadeDurango,832.658
Colima,TuxtlaGutierrez,1556.959
Colima,XalapaEnriquez,992.857
Colima,Tepic,372.576
Colima,Cuernavaca,797.57
Colima,Villahermosa,1473.52
Colima,CiudadVictoria,861.425
Colima,PachucadeSoto,746.558
Colima,OaxacadeJuarez,1185.223
Colima,LaPaz,3561
Colima,SanFranciscodeCampeche,1856.98
Colima,ChilpancingodelosBravo,993.858
Colima,TolucadeLerdo,661.53
Colima,Chetumal,2047.846
Colima,Colima,0
Colima,Zacatecas,547.342
Colima,Guanajuato,471.721
Colima,TlaxcaladeXicohtencatl,835.013
Zacatecas,CiudaddeMexico,621.21
Zacatecas,PuebladeZaragoza,741.438
Zacatecas,Guadalajara,351.986
Zacatecas,Monterrey,463.898
Zacatecas,Chihuahua,867.769
Zacatecas,Merida,1923.201
Zacatecas,Saltillo,374.921
Zacatecas,Aguascalientes,125.834
Zacatecas,Hermosillo,1426.919
Zacatecas,Mexicali,2018.72
Zacatecas,SanLuisPotosi,189.059
Zacatecas,CuliacanRosales,750.038
Zacatecas,SantiagodeQueretaro,417.696
Zacatecas,Morelia,444.88
Zacatecas,VictoriadeDurango,291.457
Zacatecas,TuxtlaGutierrez,1444.064
Zacatecas,XalapaEnriquez,879.962
Zacatecas,Tepic,556.089
Zacatecas,Cuernavaca,708.499
Zacatecas,Villahermosa,1360.625
Zacatecas,CiudadVictoria,520.722
Zacatecas,PachucadeSoto,633.663
Zacatecas,OaxacadeJuarez,1072.328
Zacatecas,LaPaz,3371
Zacatecas,SanFranciscodeCampeche,1744.085
Zacatecas,ChilpancingodelosBravo,904.788
Zacatecas,TolucadeLerdo,605.143
Zacatecas,Chetumal,1934.951
Zacatecas,Colima,541.329
Zacatecas,Zacatecas,0
Zacatecas,Guanajuato,313.609
Zacatecas,TlaxcaladeXicohtencatl,722.118
Guanajuato,CiudaddeMexico,356.529
Guanajuato,PuebladeZaragoza,476.756
Guanajuato,Guadalajara,277.515
Guanajuato,Monterrey,687.555
Guanajuato,Chihuahua,1175.872
Guanajuato,Merida,1658.52
Guanajuato,Saltillo,618.465
Guanajuato,Aguascalientes,181.94
Guanajuato,Hermosillo,1636.412
Guanajuato,Mexicali,2326.949
Guanajuato,SanLuisPotosi,191.642
Guanajuato,CuliacanRosales,959.531
Guanajuato,SantiagodeQueretaro,153.015
Guanajuato,Morelia,180.199
Guanajuato,VictoriadeDurango,599.56
Guanajuato,TuxtlaGutierrez,1179.383
Guanajuato,XalapaEnriquez,615.28
Guanajuato,Tepic,481.617
Guanajuato,Cuernavaca,443.817
Guanajuato,Villahermosa,1095.944
Guanajuato,CiudadVictoria,507.284
Guanajuato,PachucadeSoto,368.982
Guanajuato,OaxacadeJuarez,807.646
Guanajuato,LaPaz,3669
Guanajuato,SanFranciscodeCampeche,1479.404
Guanajuato,ChilpancingodelosBravo,640.106
Guanajuato,TolucadeLerdo,340.461
Guanajuato,Chetumal,1670.27
Guanajuato,Colima,466.858
Guanajuato,Zacatecas,314.243
Guanajuato,Guanajuato,0
Guanajuato,TlaxcaladeXicohtencatl,457.436
TlaxcaladeXicohtencatl,CiudaddeMexico,160.698
TlaxcaladeXicohtencatl,PuebladeZaragoza,39.932
TlaxcaladeXicohtencatl,Guadalajara,649.28
TlaxcaladeXicohtencatl,Monterrey,1011.213
TlaxcaladeXicohtencatl,Chihuahua,1588.111
TlaxcaladeXicohtencatl,Merida,1218.635
TlaxcaladeXicohtencatl,Saltillo,942.123
TlaxcaladeXicohtencatl,Aguascalientes,594.179
TlaxcaladeXicohtencatl,Hermosillo,2008.177
TlaxcaladeXicohtencatl,Mexicali,2698.714
TlaxcaladeXicohtencatl,SanLuisPotosi,515.3
TlaxcaladeXicohtencatl,CuliacanRosales,1331.296
TlaxcaladeXicohtencatl,SantiagodeQueretaro,315.657
TlaxcaladeXicohtencatl,Morelia,405.023
TlaxcaladeXicohtencatl,VictoriadeDurango,1011.799
TlaxcaladeXicohtencatl,TuxtlaGutierrez,739.498
TlaxcaladeXicohtencatl,XalapaEnriquez,181.922
TlaxcaladeXicohtencatl,Tepic,853.382
TlaxcaladeXicohtencatl,Cuernavaca,184.92
TlaxcaladeXicohtencatl,Villahermosa,656.059
TlaxcaladeXicohtencatl,CiudadVictoria,645.809
TlaxcaladeXicohtencatl,PachucadeSoto,130.358
TlaxcaladeXicohtencatl,OaxacadeJuarez,367.761
TlaxcaladeXicohtencatl,LaPaz,4045
TlaxcaladeXicohtencatl,SanFranciscodeCampeche,1039.519
TlaxcaladeXicohtencatl,ChilpancingodelosBravo,317.33
TlaxcaladeXicohtencatl,TolucadeLerdo,183.958
TlaxcaladeXicohtencatl,Chetumal,1230.385
TlaxcaladeXicohtencatl,Colima,835.385
TlaxcaladeXicohtencatl,Zacatecas,726.483
TlaxcaladeXicohtencatl,Guanajuato,460.554
TlaxcaladeXicohtencatl,TlaxcaladeXicohtencatl,0
